timestamp,nick,event,value,text
1269514112,Galo,profile_created,,
1269514138,Galo,change_config_collage_path,,
1269514145,Galo,new_image_classified,astronauta.jpeg,
1269514154,Galo,change_tags,astronauta.jpeg,"['astronauta', 'cielo']"
1269514159,Galo,change_description,astronauta.jpeg,vertical
1269514172,Galo,new_image_classified,Laprovitola.raw,
1269514188,Galo,change_tags,Laprovitola.raw,"['space ', 'jam', 'basket']"
1269514188,Galo,change_description,Laprovitola.raw,vertical
1269514206,Galo,new_collage,"['astronauta.jpeg', 'Laprovitola.raw']",to the space
1366514247,Lauta,profile_created,,
1366514275,Lauta,profile_modified,,
1366514290,Lauta,change_config_collage_path,,
1366514296,Lauta,change_tags,gato cubanito.svg,['gatito']
1366514413,Lauta,new_meme,bob_sponge.png,['recuerda realizar comentarios respetuosos']
1366514498,Lauta,new_meme,bob_sponge.png,['meme prueba 1']
1366514793,Lauta,new_meme,car.png,"['seguir con la carrera', 'terminar trabajando en mcdonals', 'yo']"
1366514847,Lauta,profile_modified,,
1486514872,albertone,profile_created,,
1586515178,s0sh1,profile_created,,
1586515202,s0sh1,new_image_classified,Cielo Vertical.svg,
1586515202,s0sh1,change_tags,Cielo Vertical.svg,['cielo']
1586515205,s0sh1,change_description,Cielo Vertical.svg,vertical
1586515229,s0sh1,new_image_classified,gato cubanito.svg,
1586515229,s0sh1,change_tags,gato cubanito.svg,['gatito']
1586515233,s0sh1,new_image_classified,gatito sorprendido.bmp,
1586515233,s0sh1,change_tags,gatito sorprendido.bmp,['gatito']
1586515238,s0sh1,new_image_classified,gatito sacando la lengua.png,
1586515238,s0sh1,change_tags,gatito sacando la lengua.png,['gatito']
1586515243,s0sh1,change_tags,gatito sacando la lengua.png,"['gatito', 'lengua', 'enojado']"
1586515249,s0sh1,change_tags,gatito sorprendido.bmp,"['gatito', 'sorprendido', 'juguete']"
1583515257,s0sh1,new_image_classified,snorlax.png,
1583515257,s0sh1,change_tags,snorlax.png,"['pokemon', 'snorlax']"
1583515261,s0sh1,change_tags,snorlax.png,"['pokemon', 'snorlax', 'bulbasour']"
1583515263,s0sh1,change_description,snorlax.png,pokemons
1583515271,s0sh1,new_image_classified,bulba.jpg,
1583515271,s0sh1,change_tags,bulba.jpg,"['bulbasaur', 'poke']"
1583515274,s0sh1,change_description,bulba.jpg,green
1583515294,s0sh1,new_image_classified,psycho girl.jpeg,
1583515294,s0sh1,change_tags,psycho girl.jpeg,"['pychodelic', 'girl']"
1583515298,s0sh1,change_tags,astronauta.jpeg,"['astronauta', 'cielo', 'pychodelic']"
1583515311,s0sh1,new_image_classified,Skyrim Mountain.jpg,
1583515311,s0sh1,change_tags,Skyrim Mountain.jpg,"['skyrim', 'game']"
1583515316,s0sh1,new_image_classified,skyrim mamuts.png,
1583515316,s0sh1,change_tags,skyrim mamuts.png,"['skyrim', 'game']"
1583515324,s0sh1,change_tags,snorlax.png,"['pokemon', 'snorlax', 'bulbasour', 'game']"
1583515329,s0sh1,change_tags,bulba.jpg,"['bulbasaur', 'poke', 'game']"
1583515343,s0sh1,new_collage,"['gato cubanito.svg', 'gatito sorprendido.bmp', 'gatito sacando la lengua.png']",cats
1583515357,s0sh1,new_collage,"['snorlax.png', 'bulba.jpg']",pokemon
1686515394,albertone,new_collage,"['Skyrim Mountain.jpg', 'skyrim mamuts.png']",elder scrol
1688515422,Nico,profile_created,,
1688515427,Nico,change_config_image_path,,
1689515452,Profe,profile_created,,
1689515540,Profe,profile_modified,,
1696515633,Galo,new_image_classified,error.png,
1696515633,Galo,change_tags,error.png,"['error', 'simpsons']"
1786516309,albertone,change_config_image_path,,
1786516437,Galo,change_config_image_path,,
1886516446,Galo,new_collage,"['error.png', 'error.png']",error.png
1687443670,albertone,profile_modified,,
